class_index,review_text
1,is n't much better
3,bit of fluff stuffed with enjoyable performances
4,probably one of the best since The Last Waltz
4,most purely enjoyable and satisfying evenings
3,Japanese director Shohei Imamura 's latest film is an odd but ultimately satisfying blend of the sophomoric and the sublime .
1,It all looks and plays like a $ 40 million version of a game you 're more likely to enjoy on a computer .
2,narrative form
3,you to give it a millisecond of thought
2,This heist flick about young Brooklyn hoods
3,the light comedic work of Zhao Benshan and the delicate ways of Dong Jie
0,romped up and down the aisles for bathroom breaks
3,A fairly enjoyable mixture of Longest Yard ... and the 1999 Guy Ritchie
3,admirable energy
3,potential for the sequels
1,violent
2,have
1,rejigger Fatal Attraction into a high school setting
2,Dogs
1,that would have been better off staying on the festival circuit
2,finds one of our most conservative and hidebound movie-making traditions and
0,rambling and incoherent manifesto
1,The film lapses
4,A raunchy and frequently hilarious follow-up
3,'s a certain robustness to this engaging mix of love and bloodletting .
3,engaged
3,but not sophomoric -RRB-
3,got me grinning .
3,it 's still unusually crafty and intelligent for Hollywood horror .
4,the extraordinary technical accomplishments
1,the supposed injustices
4,intriguing and realistic
1,tired retread
1,just another situation romance
4,'s a funny little movie with clever dialogue and likeable characters
1,is at once luridly graphic and laughably unconvincing
0,The characters are so generic and
4,an epiphany
4,radiates star-power potential in this remarkable and memorable film .
2,stunts
1,loss and loneliness
4,cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin
0,Wedding feels a bit anachronistic .
0,the worst movie
1,show off his talent by surrounding himself with untalented people
4,This enthralling documentary
4,a playful recapitulation
3,dramatic comedy
1,the slowest viewer grasps it
0,is so cliched and contrived that it makes your least favorite James Bond movie seem as cleverly plotted as The Usual Suspects
1,'s a shame the marvelous first 101 minutes have to be combined with the misconceived final 5 .
1,Went 8 Movies Ago
1,affected and boring
3,honestly
2,as thinking man
2,in its humor or stock ideas
2,convincing about
4,best thing
2,Scott Kalvert
3,of screwball farce and blood-curdling family intensity on one continuum
1,that the shocking conclusion is too much of a plunge
4,makes a feature debut that is fully formed and remarkably assured .
3,imagination in the soulful development of two rowdy teenagers
3,brought something fresher
2,been such a bad day after all
4,A lively and engaging examination
0,likely to induce sleep than fright
2,Requiem
2,mountains
1,another self-consciously overwritten story about a rag-tag bunch of would-be characters
3,bone-chilling
2,his obsessive behavior
4,Steven Spielberg brings us another masterpiece
3,eloquent film
4,Nothing short of a masterpiece -- and a challenging one .
4,magnificent landscape to create a feature film that is wickedly fun to watch
1,would n't have the guts to make .
4,... deliver a riveting and surprisingly romantic ride .
2,the ball
0,about as exciting to watch as two last-place basketball teams playing one another on the final day of the season .
0,truly bad
4,one of the outstanding thrillers of recent years
4,the most high-concept sci fi adventures
2,-LRB- Fincher 's -RRB-
0,ended up in a movie this bad
4,Easily one of the best and most exciting movies of the year .
4,chilling and fascinating
4,completely loveable
2,#NOM?
1,It 's makes a better travelogue than movie .
3,remaining one of the most savagely hilarious social critics
3,this movie loves women at all
